date,value_etf,ticker,field
2022-11-29,-0.0025,XLV US Equity,daily_return
2022-11-29,141.3,XLY US Equity,close
2022-11-29,-0.0032,XLY US Equity,daily_return
2022-11-30,82.75,XLB US Equity,close
2022-11-30,0.0241,XLB US Equity,daily_return
2022-11-30,51.51,XLC US Equity,close
2022-11-30,0.0423,XLC US Equity,daily_return
2022-11-30,91.15,XLE US Equity,close
2022-11-30,0.005,XLE US Equity,daily_return
2022-11-30,36.31,XLF US Equity,close
2022-11-30,0.0171,XLF US Equity,daily_return
2022-11-30,101.72,XLI US Equity,close
2022-11-30,0.0165,XLI US Equity,daily_return
2022-11-30,135.96,XLK US Equity,close
2022-11-30,0.0502,XLK US Equity,daily_return
2022-11-30,77.19,XLP US Equity,close
2022-11-30,0.0201,XLP US Equity,daily_return
2022-11-30,39.24,XLRE US Equity,close
2022-11-30,0.0235,XLRE US Equity,daily_return
2022-11-30,71.43,XLU US Equity,close
2022-11-30,0.025,XLU US Equity,daily_return
2022-11-30,139.02,XLV US Equity,close
2022-11-30,0.0239,XLV US Equity,daily_return
2022-11-30,146.17,XLY US Equity,close
2022-11-30,0.0345,XLY US Equity,daily_return
2022-12-01,82.85,XLB US Equity,close
2022-12-01,0.0012,XLB US Equity,daily_return
2022-12-01,51.81,XLC US Equity,close
2022-12-01,0.0058,XLC US Equity,daily_return
2022-12-01,90.85,XLE US Equity,close
2022-12-01,-0.0033,XLE US Equity,daily_return
2022-12-01,36.1,XLF US Equity,close
2022-12-01,-0.0058,XLF US Equity,daily_return
2022-12-01,101.75,XLI US Equity,close
2022-12-01,0.0003,XLI US Equity,daily_return
2022-12-01,136.15,XLK US Equity,close
2022-12-01,0.0014,XLK US Equity,daily_return
2022-12-01,76.84,XLP US Equity,close
2022-12-01,-0.0045,XLP US Equity,daily_return
2022-12-01,39.16,XLRE US Equity,close
2022-12-01,-0.002,XLRE US Equity,daily_return
2022-12-01,71.37,XLU US Equity,close
2022-12-01,-0.0008,XLU US Equity,daily_return
2022-12-01,139.42,XLV US Equity,close
2022-12-01,0.0029,XLV US Equity,daily_return
2022-12-01,146.15,XLY US Equity,close
2022-12-01,-0.0001,XLY US Equity,daily_return
2022-12-02,83.76,XLB US Equity,close
2022-12-02,0.011,XLB US Equity,daily_return
2022-12-02,51.94,XLC US Equity,close
2022-12-02,0.0025,XLC US Equity,daily_return
2022-12-02,90.31,XLE US Equity,close
2022-12-02,-0.0059,XLE US Equity,daily_return
2022-12-02,35.93,XLF US Equity,close
2022-12-02,-0.0047,XLF US Equity,daily_return
2022-12-02,102.33,XLI US Equity,close
2022-12-02,0.0057,XLI US Equity,daily_return
2022-12-02,135.36,XLK US Equity,close
2022-12-02,-0.0058,XLK US Equity,daily_return
2022-12-02,77.19,XLP US Equity,close
2022-12-02,0.0046,XLP US Equity,daily_return
2022-12-02,38.97,XLRE US Equity,close
2022-12-02,-0.0049,XLRE US Equity,daily_return
2022-12-02,71.03,XLU US Equity,close
2022-12-02,-0.0048,XLU US Equity,daily_return
2022-12-02,139.78,XLV US Equity,close
2022-12-02,0.0026,XLV US Equity,daily_return
2022-12-02,145.96,XLY US Equity,close
2022-12-02,-0.0013,XLY US Equity,daily_return
2022-12-05,82.1,XLB US Equity,close
2022-12-05,-0.0198,XLB US Equity,daily_return
2022-12-05,51.12,XLC US Equity,close
2022-12-05,-0.0158,XLC US Equity,daily_return
2022-12-05,87.63,XLE US Equity,close
2022-12-05,-0.0297,XLE US Equity,daily_return
2022-12-05,35.04,XLF US Equity,close
2022-12-05,-0.0248,XLF US Equity,daily_return
2022-12-05,100.62,XLI US Equity,close
2022-12-05,-0.0167,XLI US Equity,daily_return
2022-12-05,133.11,XLK US Equity,close
2022-12-05,-0.0166,XLK US Equity,daily_return
2022-12-05,76.22,XLP US Equity,close
2022-12-05,-0.0126,XLP US Equity,daily_return
2022-12-05,38.31,XLRE US Equity,close
2022-12-05,-0.0169,XLRE US Equity,daily_return
2022-12-05,70.63,XLU US Equity,close
2022-12-05,-0.0056,XLU US Equity,daily_return
2022-12-05,138.44,XLV US Equity,close
2022-12-05,-0.0096,XLV US Equity,daily_return
2022-12-05,141.75,XLY US Equity,close
2022-12-05,-0.0288,XLY US Equity,daily_return
2022-12-06,81.37,XLB US Equity,close
2022-12-06,-0.0089,XLB US Equity,daily_return
2022-12-06,49.65,XLC US Equity,close
2022-12-06,-0.0288,XLC US Equity,daily_return
2022-12-06,85.32,XLE US Equity,close
2022-12-06,-0.0264,XLE US Equity,daily_return
2022-12-06,34.73,XLF US Equity,close
2022-12-06,-0.0088,XLF US Equity,daily_return
2022-12-06,99.43,XLI US Equity,close
2022-12-06,-0.0118,XLI US Equity,daily_return
2022-12-06,130.26,XLK US Equity,close
2022-12-06,-0.0214,XLK US Equity,daily_return
2022-12-06,75.75,XLP US Equity,close
2022-12-06,-0.0062,XLP US Equity,daily_return
2022-12-06,38.02,XLRE US Equity,close
2022-12-06,-0.0076,XLRE US Equity,daily_return
2022-12-06,71.07,XLU US Equity,close
2022-12-06,0.0062,XLU US Equity,daily_return
